"District","State","YearCode","District.Code","State.Code","Amount.of.Arsenic","Amount.of.carbonate","Amount.of.Calcium","Amount.of.Chloride","Amount.of.Electrical.Conductivity","Amount.of.Fluorine","Amount.of.Iron","Amount.of.Hydrogencarbonate","Amount.of.Potassium","Amount.of.Magnesium","Amount.of.Nitrate","Amount.of.Sodium","Percentage.of.Sodium","Amount.of.Phosphate.Ion","Amount.of.Residual.Sodium.Carbonate","Amount.of.Sodium.absorption.ratio","Amount.of.Sulfate","Amount.of.Silicon.dioxide","Amount.of.Hardness.Total","Amount.of.Alkalinity.Total","Amount.of.Total.Dissolved.Solids","Amount.of.Potential.of.Hydrogen","district_year_id","SDP","Ginni.Index"
"24 Paraganas North","West Bengal",2016,303,19,"","0","45.0933333333333","100.2","792.2","0.382933333333333","1.3","299.506666666667","5.87293333333333","35.6666666666667","17.0933333333333","67.5733333333333","","0.218","","","5.66666666666667","16.9733333333333","259.466666666667","","","7.926","303_2016",584911,""
"24 Paraganas North","West Bengal",2000,303,19,"","","50.5882352941176","78.4117647058823","848.470588235294","0.428125","0.347272727272727","366.823529411765","3.17647058823529","32.8823529411765","7.375","74.8235294117647","","","","2.13725134052941","65","","261.764705882353","","","7.68823529411765","303_2000",129691,""
"24 Paraganas North","West Bengal",2001,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2001",139057,""
"24 Paraganas North","West Bengal",2002,303,19,"","","85.6666666666667","98.5555555555556","907.388888888889","0.356111111111111","","436.111111111111","10.7833333333333","31.1666666666667","11.2738888888889","56.8888888888889","","","","1.25333333333333","10.4694444444444","","342.5","","","7.90333333333333","303_2002",143931,""
"24 Paraganas North","West Bengal",2003,303,19,"","","","","874.842105263158","1.07444444444444","","","","","","","","","","","","","","","","","303_2003",152388,""
"24 Paraganas North","West Bengal",2004,303,19,"","","57.04","71.6666666666667","963.92","0.634166666666667","","437.583333333333","5.21052631578947","33.6172","6.18541666666667","88.16","","","","2.4352","12.4666666666667","","280.56","","","7.668","303_2004",190029,""
"24 Paraganas North","West Bengal",2005,303,19,"","","32.1081081081081","54.8611111111111","702.432432432432","0.274594594594595","","247.864864864865","5.08108108108108","29.6413513513514","18","63.8918918918919","","","","1.86675675675676","12.8","","201.945945945946","","","8.21081081081081","303_2005",201994,""
"24 Paraganas North","West Bengal",2008,303,19,"","","112","60","969","0.55","1.08","540","44","29","12","45","","","","0.98","28","","400","","","8.1","303_2008",244262,""
"24 Paraganas North","West Bengal",2009,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2009",263230,""
"24 Paraganas North","West Bengal",2010,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2010",279191,""
"24 Paraganas North","West Bengal",2012,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2012",492901,""
"24 Paraganas North","West Bengal",2013,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2013",503952,""
"24 Paraganas North","West Bengal",2018,303,19,"0","3.84375","27.125","75.12671875","752.59375","0.5871875","0","323.490625","4.69078125","31.816800671875","6.88078125","82.09875","","2.04451724137931","0","0","7.1546875","13.3209375","198.75","271.5625","450.471921875","8.19078125","303_2018",659288,""
"24 Paraganas North","West Bengal",2011,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2011",473205,""
"24 Paraganas North","West Bengal",2017,303,19,"","5.68421052631579","20.5641025641026","78.0769230769231","718.128205128205","0.361081081081081","2.06142857142857","244.025641025641","4.52871794871795","33.2051282051282","6.32333333333333","77.7435897435897","","0.266111111111111","","","36","18.4871794871795","188.128205128205","209.230769230769","","8.25102564102564","303_2017",623787,""
"24 Paraganas North","West Bengal",2014,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2014",515702,""
"24 Paraganas North","West Bengal",2006,303,19,"","","","","","","","","","","","","","","","","","","","","","","303_2006",217849,""
"24 Paraganas North","West Bengal",2007,303,19,"","","42.8333333333333","134.625","1117.5","0.248","","331.083333333333","4.54166666666667","41.69875","6.1915","106.666666666667","","","","3.2225","14.3636363636364","","278.625","","","7.9375","303_2007",234798,""
